Age,Arms Position,Body Position,Burial Manner,direction,elevation,Feet position,find date,Findspot,floor,Hands position,head position,Legs position,level,Mortuary Gifts,Museum cat. #,my dating,Original burial #,period,Preservation,Remarks,Sex,square
adult,"right flexed in front of chest, left clinging to right neck",lateral left,interred in plain earth,SK 50 E,,slightly pressed down,80731,"center N, D 2.80",,"right extended in front of face, left lying on upper v vervivales and posterior skull base",lateral left,contrcated,1,"1.(231)grey ware jar in continuation of skull 2. (232) pair of copper cuff bottons connected, between the centers of the tibiae",33-16-145,IIIA,DH05x4,IIIB,fair,,male,DH05
inf I,,,interred in plain earth,,,,80731,NE conrner  D 1.95,,,crushed,,1,1.(233) copper bracelet found close to x but none of the bones were stained green,,?,DH05x5,IIIB ,bad,,,DH05
inf II/ jvn,"right flexed in front of chest, left disturbed",lateral left,interred in plain earth,Sk 17 E S,,,80731,NE corner D 2.10,,,lateral left,contrcated closely,1,1.(793) gray jar 20 cm above the lumbar point of vert col may be a gift of x6 orx5 ,,IIIA,DH05x6,IIIB,medium,the burial is somewhat above the level of x7 but not superimposed,,DH05
adult,flexed in front of chest,lateral right side,interred in plain earth,89 E or S,,,80731,DE corner D 2.20,,"curved in front of face, left touching upper part of face. the hands touch each other and are pehraps somehwat folded",lateral right side,contracted at right angle with body,1,1. (295) small cup decorated brown on light grey brown leans against forehead with its orifice,33-16-146 ,IIIA,DH05x7,IIIB,Medium,an interesting case repeatedly checked of persistance of a definitly earlier ware (painted). the same cup with the same decoration occured in CH60-61 associated with gray ware level. the same association noticed in DG10 level 2. ,female,DH05
juv II,both flexed in front of chest,lateral left ,"interred in plain earth, no traces of a cist or wrapping",29 E,,"right foot normal, pressed against a kepich brick, left foot pressed down",80831,center 2.70,,"right extended and lying on and below face, left curved towards the face","lateral left, but lying upright","contracted, remora at right angle with body",1,"1.(235,236) 2 thick copper bracelets one at either lower arm 2.(234) graceful bottle beside and in front of left lower arm 3.(588) bowl of grey ware beside and in front of left lower arm 4.(237) silver blade was between the bracelet of the right arm an the ribs 5.(238) silver tube below the skull base, rather backwards",33-16-147,IIIA,DH05x8,IIIB,rather bad,,,DH05
jvn and young adults,,"A disorderly grave of at least four persons, the bodies of whom had apparently been thrown in to a hole. ",communal burial x9-12,all roughly NE-SW,,,80831,"SE corner , D1.70-1.90",,,the bones of the skeleton forms an enectriacable mass. many bones interlocked,,1,"1. (disc) a fragmented grey cup bowl stool near the skull of x11, perhaps wheel",33-16-231,?,DH05x9,III,all crushed,,,DH05
jvn and young adults,,"A disorderly grave of at least four persons, the bodies of whom had apparently been thrown in to a hole. ",communal burial x9-12,all roughly NE-SW,,,80831,"SE corner , D1.70-1.90",,,the bones of the skeleton forms an enectriacable mass. many bones interlocked,,1,"1. (?) a fragmented grey cup bowl stool near the skull of x11, perhaps wheel",,?,DH05x10,III,all crushed,,,DH05
jvn and young adults,,"A disorderly grave of at least four persons, the bodies of whom had apparently been thrown in to a hole. ",communal burial x9-12,all roughly NE-SW,,,80831,"SE corner , D1.70-1.90",,,the bones of the skeleton forms an enectriacable mass. many bones interlocked,,1,"1. (?) a fragmented grey cup bowl stool near the skull of x11, perhaps wheel",,?,DH05x11,III,all crushed,,,DH05
jvn and young adults,,"A disorderly grave of at least four persons, the bodies of whom had apparently been thrown in to a hole. ",communal burial x9-12,all roughly NE-SW,,,80831,"SE corner , D1.70-1.90",,,the bones of the skeleton forms an enectriacable mass. many bones interlocked,,1,"1. (?) a fragmented grey cup bowl stool near the skull of x11, perhaps wheel",,?,DH05x12,III,all crushed,,,DH05
adult,both flexed in front of face,lateral left,interred in plain earth,42 W or N,,"right nromal, left pressed down",80831,"Se corner, D 1.30",,disturbed in front of face,turned towards left upright,contracted,1,1.(disc )a crude cooking jar reddish brown with grey stains beyong the upper part of the vertebral column,,?,DH05x13,III,bad,,female,DH05
adult,both flexed in front of chest,lateral left almost dorsal,interred in plain earth,55 SW,,,80831,"center, D 2.45",,"right in front and underneath the face, left below cup at head end",lateral left,contracted but not to right angle,1,"1.(589) largde grey cup in front of face, touching forehead 2. (239) large copper ring at ? finger of the right hand",33-16-148,III,DH05x14,III,good,,male,DH05
adult,both flexed in front of chest,lateral left,interred in plain earth,27 NW,,,80831,center D 1.95,,"in front of face, disturbed",lateral left,closely contracted,1,n/a,,?,DH05x15,II,bad,,female,DH05
inf I,,disturbed,disturbed,,,,10132,"slightly below floor level 2, D 3.20",,,,,2,n/a,,?,DH05x24,II?,very bad,,,DH05
adult young,"right flexed at side, elbow up, left extends up left back",dorsal,C.T.,,,disturbed,10132,"level 2 , D 3.40",,"right pressed towards right shoulder, left bent 90 above the head towards right?",lateral right,? up on body,2,n/a,,?,DH05x25,II prob,very bad,,female,DH05
,,througoutly disturbed,disturbed,,,,,level 2 in ? D 3.25,,,,,2,n/a,,?,DH05x26,IIB+?,bad,,,DH05
adult advanced,,,"communal burial of at least 10 ppl, veldisturbed burial includes at least 8 skulls, x1-4, 6,9-13",,,,82432,top level D 75-1.40,,,,,0,1.(4220) grey cup bowl in continuation near x1 2. (4221) grey cup lies near x3 and x10 3.(5130) grey spouted bowl rests near x12 4.(4222) grey small bowl near x12 5.(4223) grey shallow cup left side of x4 6.(dis) grey bowl cup rests below x9 7.(?) large grey bowl near x13 8.(4224),33-23-113,IIIC1,DH06x1,IIIC?,,,female,DH06
inf I,,,"communal burial of at least 10 ppl, disturbed burial includes at least 8 skulls, x1-4, 6,9-13",,,,82432,top level D 75-1.40,,,,,0,1.(4220) grey cup bwol in continuation near x1 2. (4221) grey cup lies near x3 and x10 3.(5130) grey spouted bowl rests near x12 4.(4222) grey small bowl near x12 5.(4223) gey shallow cup left side of x4 6.(dis) grey bowl cup rests below x9 7.(?) large grey bwol near x13 8.(4224),,IIIC1,DH06x2,IIIC?,,,,DH06
adult advanced,,,"communal burial of at least 10 ppl, disturbed burial includes at least 8 skulls, x1-4, 6,9-13",,,,82432,top level D 75-1.40,,,,,0,1.(4220) grey cup bwol in continuation near x1 2. (4221) grey cup lies near x3 and x10 3.(5130) grey spouted bowl rests near x12 4.(4222) grey small bowl near x12 5.(4223) gey shallow cup left side of x4 6.(dis) grey bowl cup rests below x9 7.(?) large grey bwol near x13 8.(4224),,IIIC1,DH06x3,IIIC?,,,male,DH06
inf I,,,"communal burial of at least 10 ppl, disturbed burial includes at least 8 skulls, x1-4, 6,9-13includes at least 8 skulls, x1-4, 6,9-13",,,,82432,top level D 75-1.40,,,,,0,1.(4220) grey cup bowl in continuation near x1 2. (4221) grey cup lies near x3 and x10 3.(5130) grey spouted bowl rests near x12 4.(4222) grey small bowl near x12 5.(4223) grey shallow cup left side of x4 6.(dis) grey bowl cup rests below x9 7.(?) large grey bowl near x13 8.(4224),,IIIC1,DH06x4,IIIC?,,,,DH06
inf I,beoth bent foreward,lateral right,C.T.,SK 20 NE,0.95,disturbed,82732,below top level D 0.95,,"right disturbed, left extends across right elbow",lateral right,contracted,1,Perhaps the cup in the this burial belongs to x6,,?,DH06x5,III,bad,,,DH06
adult,,,disturbed (by x5?) skull only,,,,82432,below top level D .95,,,,,0,1.(?) large grey cup ja at sull fragmentory 2.(?) cup grey lies at jar?/ hand,,?,DH06x6,IIIC,bad,,male,DH06
adult,"left fleced on left side, right disturbed",lateral right slightly bentral,C.T. no architecture? on top,Sk 25. SE,0.75,"natural, left slightly pulled up",83332,top later D .75,,"left bent back, wrist at left mandible. right clutched oter side of left towards ?",lateral right almost on base,contracted,0,n/a,33-23-229,?,DH06x7,III,bad,,male,DH06
mature,"right slightly bent extends towards right pubic bone, left bent across body at right elbow",dorsal,C.T.,sk 64 NW,,right pressed down,82232,top later above L1 and with x 7 etc D .75,,"right droped over right pubic bone almost to left heel, left dropped along right lower arm","on base, slightly lowered",contracted towards right,0,1. (disc) 2 double fragmentory pendants lies beside right towards ? 2.(?) lozenge alabaster bead beside? 3.(4225) 2 copper earrings dropped next to skull and below chin,,?,DH06x8,IIIC,bad,,male,DH06
adult,,,"communal burial of at least 10 ppl, disturbed burial includes at least 8 skulls, x1-4, 6,9-13",,,,82432,top level D 75-1.40,,,,,0,1.(4220) grey cup bwol in continuation near x1 2. (4221) grey cup lies near x3 and x10 3.(5130) hrey spouted bowl rests near x12 4.(4222) grey small bowl near x12 5.(4223) gey shallow cup left side of x4 6.(dis) grey bowl cup rests below x9 7.(?) large grey bwol near x13 8.(4224),,IIIC1,DH06x9,IIIC?,,,male,DH06
adult,,,"communal burial of at least 10 ppl, disturbed burial includes at least 8 skulls, x1-4, 6,9-13",,,,82432,top level D 75-1.40,,,,,0,1.(4220) grey cup bwol in continuation near x1 2. (4221) grey cup lies near x3 and x10 3.(5130) hrey spouted bowl rests near x12 4.(4222) grey small bowl near x12 5.(4223) gey shallow cup left side of x4 6.(dis) grey bowl cup rests below x9 7.(?) large grey bwol near x13 8.(4224),33-23-114,IIIC1,DH06x10,IIIC?,,,male,DH06
senile,,,"communal burial of at least 10 ppl, disturbed burial includes at least 8 skulls, x1-4, 6,9-13",,,,82432,top level D 75-1.40,,,,,0,1.(4220) grey cup bwol in continuation near x1 2. (4221) grey cup lies near x3 and x10 3.(5130) hrey spouted bowl rests near x12 4.(4222) grey small bowl near x12 5.(4223) gey shallow cup left side of x4 6.(dis) grey bowl cup rests below x9 7.(?) large grey bwol near x13 8.(4224),,IIIC1,DH06x11,IIIC?,,,male,DH06
adult,,,"communal burial of at least 10 ppl, disturbed burial includes at least 8 skulls, x1-4, 6,9-13",,,,82432,top level D 75-1.40,,,,,0,1.(4220) grey cup bwol in continuation near x1 2. (4221) grey cup lies near x3 and x10 3.(5130) hrey spouted bowl rests near x12 4.(4222) grey small bowl near x12 5.(4223) gey shallow cup left side of x4 6.(dis) grey bowl cup rests below x9 7.(?) large grey bwol near x13 8.(4224),,IIIC1,DH06x12,IIIC?,,,male,DH06
,,,"communal burial of at least 10 ppl, disturbed burial includes at least 8 skulls, x1-4, 6,9-13",,,,82432,top level D 75-1.40,,,,,0,1.(4220) grey cup bwol in continuation near x1 2. (4221) grey cup lies near x3 and x10 3.(5130) hrey spouted bowl rests near x12 4.(4222) grey small bowl near x12 5.(4223) gey shallow cup left side of x4 6.(dis) grey bowl cup rests below x9 7.(?) large grey bwol near x13 8.(4224),,IIIC1,DH06x13,IIIC?,,,,DH06
adult,"right flexed at side, left felxed across chest towards right ",dorsal,C.T.,sk 65 NW,,,82932,top level below floor level 1 D. 1.20,1,right curved around head? left cuthced pressed towards left eye,on base turned right,contracted ip femors crossed,0,"1.(4226) grey cup lies beside right elbow, small",33-23-115,IIIC2,DH06x14,IIIC+?,bad,,female,DH06
